,filename,width,height,class,xmin,ymin,xmax,ymax
0,3-avi-frame417_jpg.rf.2e4440e1272a5ac19f1488623f459e68.jpg,800,550,28,55,166,66,177
1,3-avi-frame417_jpg.rf.2e4440e1272a5ac19f1488623f459e68.jpg,800,550,29,55,177,66,200
2,3-avi-frame418_jpg.rf.c31c6b58ea806f930a1854f3fcc224c5.jpg,800,550,28,95,172,108,183
3,3-avi-frame418_jpg.rf.c31c6b58ea806f930a1854f3fcc224c5.jpg,800,550,29,97,183,109,204
4,3-avi-frame420_jpg.rf.0a1295890e05add1f9208ea11cffce14.jpg,800,550,28,180,171,192,182
5,3-avi-frame420_jpg.rf.0a1295890e05add1f9208ea11cffce14.jpg,800,550,29,180,183,193,210
6,3-avi-frame420_jpg.rf.3622afd0ef7262bf190a80f5286f64bd.jpg,800,550,28,179,169,193,181
7,3-avi-frame420_jpg.rf.3622afd0ef7262bf190a80f5286f64bd.jpg,800,550,29,179,181,194,209
8,3-avi-frame421_jpg.rf.b29aedff10e784a7eb521443c9cc4ecd.jpg,800,550,28,220,170,233,182
9,3-avi-frame421_jpg.rf.b29aedff10e784a7eb521443c9cc4ecd.jpg,800,550,29,222,182,234,208
10,3-avi-frame422_jpg.rf.7e096020b42bfa17721ca510d5ae094e.jpg,800,550,28,238,167,251,178
11,3-avi-frame422_jpg.rf.7e096020b42bfa17721ca510d5ae094e.jpg,800,550,29,239,180,250,205
12,3-avi-frame423_jpg.rf.470148994b4410b5a7f7f7eb926b64e6.jpg,800,550,28,268,159,281,172
13,3-avi-frame423_jpg.rf.470148994b4410b5a7f7f7eb926b64e6.jpg,800,550,29,268,173,282,200
14,3-avi-frame424_jpg.rf.9aadddfacc9b48891f5414761b910e9f.jpg,800,550,28,283,161,295,176
15,3-avi-frame424_jpg.rf.9aadddfacc9b48891f5414761b910e9f.jpg,800,550,29,283,176,296,203
16,3-avi-frame424_jpg.rf.a192ecb1b1d327249fe1643e2dd4e3f8.jpg,800,550,28,282,160,295,175
17,3-avi-frame424_jpg.rf.a192ecb1b1d327249fe1643e2dd4e3f8.jpg,800,550,29,283,175,296,202
18,3-avi-frame426_jpg.rf.bbb19fc4657b278fce7a54db3e42e680.jpg,800,550,28,320,166,333,179
19,3-avi-frame426_jpg.rf.bbb19fc4657b278fce7a54db3e42e680.jpg,800,550,29,321,180,334,210
20,3-avi-frame427_jpg.rf.2a7debceea8e95c4ff6559568cecddf8.jpg,800,550,28,343,166,358,180
21,3-avi-frame427_jpg.rf.2a7debceea8e95c4ff6559568cecddf8.jpg,800,550,29,345,180,357,214
22,3-avi-frame427_jpg.rf.69514a5d592ef450b6ec1efd25a514ef.jpg,800,550,28,343,166,358,181
23,3-avi-frame427_jpg.rf.69514a5d592ef450b6ec1efd25a514ef.jpg,800,550,29,345,180,357,214
24,3-avi-frame428_jpg.rf.1f67d093ea9c0b1bbde53be904b3f43e.jpg,800,550,28,348,166,363,182
25,3-avi-frame428_jpg.rf.1f67d093ea9c0b1bbde53be904b3f43e.jpg,800,550,29,350,182,362,216
26,3-avi-frame428_jpg.rf.b596a48ef98a20c35ce40104c5d815fa.jpg,800,550,28,347,166,364,183
27,3-avi-frame428_jpg.rf.b596a48ef98a20c35ce40104c5d815fa.jpg,800,550,29,349,183,363,217
28,3-avi-frame429_jpg.rf.52c1f2c2eea9dd5e194f76f637b32d53.jpg,800,550,28,341,161,359,179
29,3-avi-frame429_jpg.rf.52c1f2c2eea9dd5e194f76f637b32d53.jpg,800,550,29,343,178,356,216
30,3-avi-frame430_jpg.rf.e67cd7db14260d8f3a13eff8e955bafd.jpg,800,550,28,335,155,354,171
31,3-avi-frame430_jpg.rf.e67cd7db14260d8f3a13eff8e955bafd.jpg,800,550,29,337,171,349,212
32,3-avi-frame431_jpg.rf.56680ac728d805e27f11dcd8c44424a5.jpg,800,550,28,336,153,356,170
33,3-avi-frame431_jpg.rf.56680ac728d805e27f11dcd8c44424a5.jpg,800,550,29,338,169,352,211
34,3-avi-frame431_jpg.rf.fd7896c3062fcaf73f768571351cfc91.jpg,800,550,28,336,152,355,169
35,3-avi-frame431_jpg.rf.fd7896c3062fcaf73f768571351cfc91.jpg,800,550,29,338,169,352,214
36,3-avi-frame432_jpg.rf.fb880471551b1f061717ece845ced548.jpg,800,550,28,357,145,377,164
37,3-avi-frame432_jpg.rf.fb880471551b1f061717ece845ced548.jpg,800,550,29,359,164,375,209
38,3-avi-frame434_jpg.rf.eb4ba9dfa1f20f2067633f1befa7e21e.jpg,800,550,28,408,136,430,159
39,3-avi-frame434_jpg.rf.eb4ba9dfa1f20f2067633f1befa7e21e.jpg,800,550,29,411,159,427,212
40,3-avi-frame435_jpg.rf.0864024007ddb61a7eedc237a688a5b7.jpg,800,550,28,444,122,470,146
41,3-avi-frame435_jpg.rf.0864024007ddb61a7eedc237a688a5b7.jpg,800,550,29,448,145,465,205
42,3-avi-frame436_jpg.rf.50c86dc33c1066d44e5355a427908ea2.jpg,800,550,28,486,115,515,145
43,3-avi-frame436_jpg.rf.50c86dc33c1066d44e5355a427908ea2.jpg,800,550,29,490,144,510,208
44,3-avi-frame437_jpg.rf.37e10ec9acbc1b6e4600ec7a15c4ed25.jpg,800,550,28,510,110,541,140
45,3-avi-frame437_jpg.rf.37e10ec9acbc1b6e4600ec7a15c4ed25.jpg,800,550,29,513,140,537,209
46,3-avi-frame439_jpg.rf.94f0a2824782c6e2ab31a98ec5d63eac.jpg,800,550,28,601,77,640,113
47,3-avi-frame439_jpg.rf.94f0a2824782c6e2ab31a98ec5d63eac.jpg,800,550,29,605,113,635,204
48,3-avi-frame496_jpg.rf.d7518ef5bd9902aed69f49ba5582ee49.jpg,800,550,5,275,189,284,197
49,3-avi-frame496_jpg.rf.d7518ef5bd9902aed69f49ba5582ee49.jpg,800,550,4,460,189,471,199
50,3-avi-frame499_jpg.rf.a0464ac21591528194da5bcf23d7cab5.jpg,800,550,5,259,191,269,201
51,3-avi-frame499_jpg.rf.a0464ac21591528194da5bcf23d7cab5.jpg,800,550,4,467,190,480,203
52,3-avi-frame503_jpg.rf.890c11c225db1d80d557f22ad36a0a8b.jpg,800,550,4,486,183,502,198
53,3-avi-frame503_jpg.rf.890c11c225db1d80d557f22ad36a0a8b.jpg,800,550,5,232,186,244,197
54,3-avi-frame503_jpg.rf.890c11c225db1d80d557f22ad36a0a8b.jpg,800,550,20,512,137,534,158
55,3-avi-frame504_jpg.rf.7dadfb5be2b46155453cdbac7672200f.jpg,800,550,20,531,127,556,152
56,3-avi-frame504_jpg.rf.7dadfb5be2b46155453cdbac7672200f.jpg,800,550,4,497,182,514,198
57,3-avi-frame504_jpg.rf.7dadfb5be2b46155453cdbac7672200f.jpg,800,550,5,221,187,234,199
58,3-avi-frame514_jpg.rf.dc1152c557a92d865683181febd6566f.jpg,800,550,5,108,164,133,188
59,3-avi-frame514_jpg.rf.dc1152c557a92d865683181febd6566f.jpg,800,550,1,554,153,573,170
60,3-avi-frame514_jpg.rf.dc1152c557a92d865683181febd6566f.jpg,800,550,41,554,131,577,152
61,3-avi-frame524_jpg.rf.2956b2fe1562190feae409fb144b3614.jpg,800,550,68,559,177,574,198
62,3-avi-frame531_jpg.rf.91c08c10dba8018fc4174b19275d0a50.jpg,800,550,41,449,173,463,187
63,3-avi-frame672_jpg.rf.e995171158674d218e95be87ea251034.jpg,800,550,26,449,151,471,174
64,3-avi-frame672_jpg.rf.f437fd2f5a8f488c986672fc60e42676.jpg,800,550,26,447,150,476,173
65,3-avi-frame673_jpg.rf.3950bcb225c881e7ae554216b7a18c0b.jpg,800,550,26,455,146,483,171
66,3-avi-frame674_jpg.rf.36e6b1a4c3dd49e77b7a57c5a4c1da19.jpg,800,550,26,461,143,492,169
67,3-avi-frame676_jpg.rf.f1e172c4dc014869f1cc808bf02a4958.jpg,800,550,26,482,130,518,162
68,3-avi-frame677_jpg.rf.7fa00aba881e9d2ce4336f32fe89c50e.jpg,800,550,26,494,122,535,157
69,3-avi-frame677_jpg.rf.e9334199bc90928c3004006d5a266646.jpg,800,550,26,496,122,536,157
70,3-avi-frame678_jpg.rf.48c3a83b49eedd47a395845c93a87e1e.jpg,800,550,26,519,109,565,148
71,3-avi-frame679_jpg.rf.d94d38acccb11156b5c5044055c7c514.jpg,800,550,26,536,98,590,145
72,3-avi-frame680_jpg.rf.d42e9e3dacf2bd9d2f8d951bb00f5a34.jpg,800,550,26,570,78,635,138
73,3-avi-frame681_jpg.rf.31842d3de8f346ef989ee08488999832.jpg,800,550,26,615,48,700,123
74,3-avi-frame682_jpg.rf.9e31c5347d4353c258d7361cad24b140.jpg,800,550,26,682,9,792,104
75,3-avi-frame809_jpg.rf.2a99b4eabaaa09e672d88d9fce6463a3.jpg,800,550,59,729,89,795,147
76,4-avi-frame348_jpg.rf.ce4e525737684b90d70fb1b6e10b6f26.jpg,800,550,4,433,172,452,190
77,4-avi-frame348_jpg.rf.ce4e525737684b90d70fb1b6e10b6f26.jpg,800,550,5,240,177,257,194
78,4-avi-frame349_jpg.rf.be2eab8b6895f19b5ab1e7a6e031ec95.jpg,800,550,5,234,176,252,192
79,4-avi-frame349_jpg.rf.be2eab8b6895f19b5ab1e7a6e031ec95.jpg,800,550,4,435,171,454,189
80,4-avi-frame350_jpg.rf.ec473fe45b93acb65ba5da34731a5403.jpg,800,550,4,439,166,459,185
81,4-avi-frame350_jpg.rf.ec473fe45b93acb65ba5da34731a5403.jpg,800,550,5,224,172,242,190
82,4-avi-frame354_jpg.rf.627ccb0547a40b6436940148e3426aad.jpg,800,550,4,464,147,493,177
83,4-avi-frame354_jpg.rf.627ccb0547a40b6436940148e3426aad.jpg,800,550,5,166,159,191,184
84,4-avi-frame356_jpg.rf.bf37b824c87193703d5679938b726b55.jpg,800,550,5,129,153,157,182
85,4-avi-frame356_jpg.rf.bf37b824c87193703d5679938b726b55.jpg,800,550,4,481,138,516,172
86,4-avi-frame356_jpg.rf.c5191037e05d4e5ca2b87515f0585689.jpg,800,550,4,481,138,517,173
87,4-avi-frame356_jpg.rf.c5191037e05d4e5ca2b87515f0585689.jpg,800,550,5,128,153,157,182
88,4-avi-frame357_jpg.rf.6947c8da9fbc44ed512d38f4eea3eef2.jpg,800,550,4,501,128,541,169
89,4-avi-frame357_jpg.rf.6947c8da9fbc44ed512d38f4eea3eef2.jpg,800,550,5,95,148,129,180
90,4-avi-frame360_jpg.rf.420f4003864ab56d2386044be4cd9cde.jpg,800,550,15,151,173,166,190
91,4-avi-frame360_jpg.rf.420f4003864ab56d2386044be4cd9cde.jpg,800,550,4,592,85,665,151
92,4-avi-frame361_jpg.rf.8da9e60666ba13adff9b7ec4aa321d50.jpg,800,550,15,129,174,145,191
93,4-avi-frame361_jpg.rf.8da9e60666ba13adff9b7ec4aa321d50.jpg,800,550,4,674,38,781,137
94,4-avi-frame364_jpg.rf.130518c811b19e2fe1fe147021869ba4.jpg,800,550,15,29,168,55,194
